subjectID,Subject
1,Acoustics
2,Agricultural Economics & Policy
3,Agricultural Engineering
4,"Agriculture, Dairy & Animal Science"
5,"Agriculture, Multidisciplinary"
6,Agronomy
7,Allergy
8,Anatomy & Morphology
9,Andrology
10,Anesthesiology
11,Anthropology
12,Archaeology
13,Architecture
14,Area Studies
15,Art
17,Asian Studies
18,Astronomy & Astrophysics
19,Audiology & Speech-Language Pathology
20,Automation & Control Systems
21,Behavioral Sciences
22,Biochemical Research Methods
23,Biochemistry & Molecular Biology
24,Biodiversity Conservation
26,Biology
28,Biophysics
29,Biotechnology & Applied Microbiology
30,Business
31,"Business, Finance"
32,Cardiac & Cardiovascular Systems
33,Cell & Tissue Engineering
34,Cell Biology
36,"Chemistry, Analytical"
37,"Chemistry, Applied"
38,"Chemistry, Inorganic & Nuclear"
39,"Chemistry, Medicinal"
40,"Chemistry, Multidisciplinary"
41,"Chemistry, Organic"
42,"Chemistry, Physical"
43,Classics
44,Clinical Neurology
45,Communication
46,"Computer Science, Artificial Intelligence"
47,"Computer Science, Cybernetics"
48,"Computer Science, Hardware & Architecture"
49,"Computer Science, Information Systems"
50,"Computer Science, Interdisciplinary Applications"
51,"Computer Science, Software Engineering"
52,"Computer Science, Theory & Methods"
53,Construction & Building Technology
54,Criminology & Penology
55,Critical Care Medicine
56,Crystallography
57,Cultural Studies
58,Dance
59,Demography
60,"Dentistry, Oral Surgery & Medicine"
61,Dermatology
62,Developmental Biology
63,Ecology
64,Economics
65,Education & Educational Research
66,"Education, Scientific Disciplines"
67,"Education, Special"
68,Electrochemistry
69,Emergency Medicine
70,Endocrinology & Metabolism
71,Energy & Fuels
73,"Engineering, Aerospace"
74,"Engineering, Biomedical"
75,"Engineering, Chemical"
76,"Engineering, Civil"
77,"Engineering, Electrical & Electronic"
78,"Engineering, Environmental"
79,"Engineering, Geological"
80,"Engineering, Industrial"
81,"Engineering, Manufacturing"
82,"Engineering, Marine"
83,"Engineering, Mechanical"
84,"Engineering, Multidisciplinary"
85,"Engineering, Ocean"
86,"Engineering, Petroleum"
87,Entomology
88,Environmental Sciences
89,Environmental Studies
90,Ergonomics
91,Ethics
92,Ethnic Studies
93,Evolutionary Biology
94,Family Studies
95,"Film, Radio & Television"
96,Fisheries
97,Folklore
98,Food Science & Technology
99,Forestry
100,Gastroenterology & Hepatology
103,Genetics & Heredity
104,Geochemistry & Geophysics
105,Geography
106,"Geography, Physical"
107,Geology
108,"Geosciences, Multidisciplinary"
109,Geriatrics & Gerontology
110,Gerontology
112,Health Care Sciences & Services
113,Health Policy & Services
114,Hematology
115,History
116,History & Philosophy of Science
117,History Of Social Sciences
118,Horticulture
119,"Hospitality, Leisure, Sport & Tourism"
120,"Humanities, Multidisciplinary"
121,Imaging Science & Photographic Technology
122,Immunology
123,Industrial Relations & Labor
124,Infectious Diseases
125,Information Science & Library Science
126,Instruments & Instrumentation
127,Integrative & Complementary Medicine
128,International Relations
129,Language & Linguistics
